text,label
Comunicado oficial: nuevos horarios de atención,ham
Acumula millas en cada viaje que hagas con nosotros,spam
Sé que tienes dudas con gusto te las aclaro,ham
Prepara el futuro de tus hijos con nuestro fondo universitario,spam
Reconfirma tu correo para evitar suspensiones,spam
Mil gracias por elegirnos haremos hasta lo imposible por satisfacerte,ham
Ayúdanos a romper este récord Guinness,spam
Tu comprobante de retención está listo,ham
Libera tu potencial artístico con nuestro set de pinturas,spam
Por favor verifica tu número celular,ham
Hoy todo tiene 70% de descuento corre,spam
Presentamos nuestro nuevo aviso de privacidad,ham
Felicidades has sido nominado a empleado del mes,ham
Evita recargos pagando tu cuenta a tiempo,ham
Postula a tu media naranja y gana una cita a ciegas,spam
Un regalo especial por ser nuestro cliente fiel,ham
Lee nuestro análisis semanal del mercado,spam
Extendimos tu periodo de prueba gratis,ham
Marca tus abdominales con nuestro quema grasa,spam
Recordatorio de tu cita médica de control,ham
Gana dinero probando productos en casa,spam
Gracias por tu compra reclama tu regalo aquí,ham
Canjea este cupón por un 2x1 en cenas,spam
Comparte conmigo tus comentarios del borrador,ham
Recibe tus compras el mismo día con nuestro servicio exprés,spam
Tu viaje de negocios está todo reservado,ham
Refuerza tu sistema inmunológico con nuestras vitaminas,spam
Gracias por aplicar te llamaremos si hay vacantes,ham
Multiplica tus ganancias integrándote a nuestro equipo,spam
Hola me encantaría que nos reuniéramos,ham
Aprovecha nuestra opción de refinanciamiento,spam
Confirma tu asistencia al taller de seguridad,ham
Resalta tu mirada con nuestras sombras de ojos,spam
Tu nueva contraseña ya está activa,ham
Gana una consola participando en nuestro torneo,spam
Necesitamos una foto de tu identificación,spam
Ayúdanos a servirte mejor con tus sugerencias,ham
Descarga el manual de usuario aquí,spam
Tu recibo de nómina está disponible aquí,ham
Baja de peso sin pasar hambre,spam
Por favor selecciona la sede de tu preferencia,ham
Salvemos más vidas con tu donación,ham
No te pierdas estos memes divertidísimos,spam
Tu reembolso está en proceso,ham
Gana comisiones por referir amigos,spam
No olvides tu cita para la limpieza dental,ham
Pierde peso mientras duermes con este té,spam
Gracias por comprar con nosotros,ham
Revisa tu puntaje crediticio gratis,spam
Necesito que firmes el NDA adjunto,ham
Accede a ofertas solo para miembros,spam
Tu pedido está en ruta de entrega,ham
Aumenta tu resistencia con estas pastillas,spam
Estamos revisando tu queja,ham
Invierte en bonos gubernamentales hoy,spam
Hola ¿quieres tener una cita conmigo?,ham
Financia tu compra con nuestro crédito,spam
Confirma tu asistencia al workshop,ham
Luce un cabello de comercial con nuestro shampoo,spam
Tu membresía ha sido aprobada,ham
Gana una gift card en nuestra rifa,spam
Por tu seguridad verificaremos tu identidad,spam
Tu feedback es valioso para nosotros,ham
Baja nuestra app y gana puntos,spam
Tu balance mensual ya fue generado,ham
Reduce tallas con nuestro plan detox,spam
Actualiza tu método de pago,ham
Apoya esta noble causa con tu aporte,ham
Mira estos chistosos videos de gatos,spam
Feliz cumpleaños pásala increíble,ham
Adquiere nuestro seguro contra robos,spam
Hola seré tu nutricionista online,spam
Bienvenido al equipo,ham
Últimas horas de cyber monday,spam
Tu habitación de hotel está lista,ham
Encuentra tu paz interior con yoga,ham
Cuéntanos qué te pareció el producto,spam
Baja este increíble wallpaper HD,spam
Tu solicitud de crédito fue denegada,ham
Acumula reward points en cada compra,spam
Hola cotiza nuestros servicios aquí,ham
Protege a tu familia con un seguro de salud,spam
Activa las notificaciones de nuestro boletín,spam
Gracias por preferirnos siempre,ham
No te pierdas estos bloopers divertidos,spam
Descarga tu estado de cuenta aquí,ham
Pon a prueba tu intelecto con sudokus,spam
Verifica y completa tu información personal,ham
Solo hoy 50% de descuento en todo,spam
Lee nuestros nuevos términos de servicio,ham
Felicidades obtuviste la beca,ham
Agenda tu cita para el chequeo anual,ham
Conoce solteros compatibles contigo,spam
Gracias por tu fidelidad,ham
Entérate de las noticias más relevantes,spam
Felicidades tu crédito fue pre-aprobado,ham
Marca los músculos de tus sueños,spam
Reconfirma tu cita en el spa,ham
Trabaja desde casa sin experiencia,spam
Tu compra está protegida,ham
Trae este cupón para un obsequio especial,spam
Envíame tus observaciones del reporte,ham
Recibe tus envíos gratis por un año,spam
Tu maleta llegará en el próximo vuelo,ham
Ten energía todo el día con nuestras cápsulas,spam
Gracias por postular te tendremos en cuenta,ham
Obtén Bitcoin gratis con este truco,spam
Hola únete a nuestro dream team,ham
Fracciona tus compras hasta 12 meses,spam
Asiste a la charla motivacional,ham
Resalta tu belleza con nuestro labial,spam
Empeza a disfrutar tu suscripción,ham
Concursa por entradas VIP al estreno,spam
Comprueba que eres mayor de edad,spam
Tus comentarios nos hacen mejores,ham
Baja nuestro recetario gratis,spam
Revisa tus transacciones recientes,ham
Adelgaza comiendo estos snacks,spam
Elige tu método de envío favorito,ham
Cambia una vida apadrinando un niño,ham
Despierta tu niño interior con Lego,spam
Feliz aniversario de bodas,ham
Protege tu auto con nuestro seguro,spam
Hola optimicemos juntos tus finanzas,ham
Gracias por unirte a nuestra comunidad virtual,ham
Visita nuestra nueva colección,spam
Confirmamos el despacho de tu orden,ham
Domina la oratoria con este curso,spam
Tu opinión sincera nos importa,ham
Gana regalos con este código QR,spam
Comunicado: cambio temporal de sede,ham
Acumula millas viajando con nosotros,spam
Hola resolveré todas tus consultas,ham
Invierte en el futuro de tu retiro,spam
Valida tu mail para continuar,ham
Gracias por tu paciencia,ham
Rompe este récord y gana fama,spam
Tu certificado tributario está listo,ham
Dibuja como un experto con estos tips,spam
Verifica tu número de teléfono,ham
Flash sale todo debe irse,spam
Conoce nuestro compromiso con tu privacidad,ham
Felicidades por tu desempeño sobresaliente,ham
Paga a tiempo y mantén tu récord crediticio,ham
Postúlate a este reality show,spam
Reclama aquí tu gift card de cumpleaños,ham
Lee los insights clave de la industria,spam
Disfruta 30 días más de cortesía,ham
Marca tu six-pack con nuestro gel,spam
Revisa los resultados de tus exámenes médicos,ham
Gana probando productos como mystery shopper,spam
Gracias por comprar reclama tu cashback,ham
Canjea aquí tu cupón de descuento,spam
Agrégame tus comentarios en el documento,ham
Recibe tu súper en la puerta de tu casa,spam
Tu vuelo está confirmado,ham
Fortalece tus defensas con este suplemento,spam
Gracias por tu interés te contactaremos pronto,ham
Genera ingreso extra como freelancer,spam
Hola ¿cuándo nos juntamos?,ham
Unifica tus deudas con esta tasa especial,spam
Confirma tu presencia en la capacitación,ham
Destaca tus ojos con nuestro nuevo rímel,spam
Accede con tu nueva clave temporal,ham
Gana una gift card opinando sobre nuestro servicio,spam
Adjunta una copia de tu cédula,spam
Tu feedback nos ayuda a crecer,ham
Baja el instructivo de operación,spam
Tu boleta de pago está disponible,ham
Desintoxica tu cuerpo con estos jugos,spam
Elige el plan que más te convenga,ham
Construyamos un refugio con tu apoyo,ham
Disfruta horas de diversión familiar,spam
Felices Pascuas disfruta en familia,ham
Agenda tu cita online,ham
Monetiza tus conocimientos como instructor,spam
Evita el corte pagando hoy mismo,ham
Atrae la suerte con este amuleto,spam
Gracias por pagar puntualmente,ham
Descubre las claves de un negocio exitoso,spam
Revisa y aprueba el contrato digital,ham
Pide tu muestra médica gratuita,spam
Rastrea tu envío con este código,ham
Sorprende a tu pareja con este perfume,spam
Resolveremos tu caso a la brevedad,ham
Invierte en bienes raíces con expertos,spam
Hola evaluemos tu perfil profesional,ham
Ahorra en grande con nuestra cuenta VIP,spam
Asiste a la reunión de accionistas,ham
Elimina el acné con este jabón natural,spam
Activa tu nueva tarjeta con una compra,ham
Concierta y conoce a tu banda favorita,spam
Verifica la cuenta de depósito de tu nómina,spam
Agradecemos tus ideas de mejora,ham
Baja nuestro mapa turístico gratuito,spam
Revisa tu saldo y próximas facturas,ham
Prueba nuestro menú veggie,spam
Elige dónde recoger tu paquete,ham
Súmate como voluntario y cambia realidades,ham
Inspírate con estas frases motivacionales,spam
Feliz día mamá eres la mejor,ham
Solicita tu seguro de desempleo,ham
Hola renovemos tu guardarropa,spam
Disfruta los beneficios de ser socio,ham
Descubre las últimas tendencias de moda,spam
Tu orden está lista para recoger,ham
Aprende Photoshop desde cero,spam
Tu opinión sobre nuestro servicio nos interesa,ham
Obtén reembolso de tus compras,spam
Informamos nuestros nuevos horarios,ham
Gana puntos extra con nuestro club viajero,spam
Hola ¿en qué puedo asesorarte?,ham
Asegura la educación de tus hijos desde hoy,spam
Evita la suspensión renueva tu licencia,spam
Gracias por confiar en nuestra asesoría,ham
Ayúdanos a superar esta marca mundial,spam
Tu certificado de retenciones ya fue generado,ham
Expresa tu talento con este set de pinceles,spam
Comprueba tu número telefónico,ham
Mega ofertas solo por hoy,spam
Conoce cómo protegemos tus datos,ham
Felicidades por tu ascenso,ham
Paga hoy y evita intereses de mora,ham
Postula a tu crush y gana una cita,spam
Gracias por ser parte de nuestro club,ham
Entérate de los movimientos del mercado,spam
Extendimos tu membresía sin costo,ham
Marca la diferencia con abdominales de acero,spam
Recordatorio: tu revisión médica anual,ham
Gana dinero desde tu hogar,spam
Reclama aquí tu premio por tu compra,ham
Canjea este cupón por un postre gratis,spam
Comparte conmigo tus ideas sobre el proyecto,ham
Recibe tus compras hoy mismo,spam
Tu taxi al aeropuerto llegará en 10 minutos,ham
Mantén tus defensas altas con vitamina C,spam
Gracias por postular suerte en tu búsqueda,ham
Gana más referenciando esta oportunidad,spam
Hola coordinemos esa reunión pendiente,ham
Reduce tus cuotas con nuestro plan especial,spam
Confirma tu participación en el simulacro,ham
Realza tu mirada con nuestras sombras,spam
Tu nueva clave ya está operativa,ham
Gana un kit gamer en nuestros sorteos,spam
Adjunta una foto de tu documento,spam
Buscamos mejorar con tus sugerencias,ham
Baja aquí el manual de usuario,spam
Ya puedes descargar tu boleta de pago,ham
Baja dos tallas con nuestros batidos,spam
Elige cómo quieres pagar,ham
Salva una mascota adoptando,ham
No te pierdas estos memes épicos,spam
Tu reembolso está en proceso,ham
Gana comisiones por referir amigos,spam
No olvides tu cita para la limpieza dental,ham
Pierde peso mientras duermes con este té,spam
Gracias por comprar con nosotros,ham
Revisa tu puntaje crediticio gratis,spam
Necesito que firmes el NDA adjunto,ham
Accede a ofertas solo para miembros,spam
Tu pedido está en ruta de entrega,ham
Aumenta tu resistencia con estas pastillas,spam
Estamos revisando tu queja,ham
Invierte en bonos gubernamentales hoy,spam
Hola ¿quieres tener una cita conmigo?,ham
Financia tu compra con nuestro crédito,spam
Confirma tu asistencia al workshop,ham
Luce un cabello de comercial con nuestro shampoo,spam
Tu membresía ha sido aprobada,ham
Gana una gift card en nuestra rifa,spam
Por tu seguridad verificaremos tu identidad,spam
Tu feedback es valioso para nosotros,ham
Baja nuestra app y gana puntos,spam
Tu balance mensual ya fue generado,ham
Reduce tallas con nuestro plan detox,spam
Actualiza tu método de pago,ham
Apoya esta noble causa con tu aporte,ham
Mira estos chistosos videos de gatos,spam
Feliz cumpleaños pásala increíble,ham
Adquiere nuestro seguro contra robos,spam
Hola seré tu nutricionista online,spam
Bienvenido al equipo,ham
Últimas horas de cyber monday,spam
Tu habitación de hotel está lista,ham
Encuentra tu paz interior con yoga,ham
Cuéntanos qué te pareció el producto,spam
Baja este increíble wallpaper HD,spam
Tu solicitud de crédito fue denegada,ham
Acumula reward points en cada compra,spam
Hola cotiza nuestros servicios aquí,ham
Protege a tu familia con un seguro de salud,spam
Activa las notificaciones de nuestro boletín,spam
Gracias por preferirnos siempre,ham
No te pierdas estos bloopers divertidos,spam
Descarga tu estado de cuenta aquí,ham
Pon a prueba tu intelecto con sudokus,spam
Verifica y completa tu información personal,ham
Solo hoy 50% de descuento en todo,spam
Lee nuestros nuevos términos de servicio,ham
Felicidades obtuviste la beca,ham
Agenda tu cita para el chequeo anual,ham
Conoce solteros compatibles contigo,spam
Gracias por tu fidelidad,ham
Entérate de las noticias más relevantes,spam
Felicidades tu crédito fue pre-aprobado,ham
Marca los músculos de tus sueños,spam
Reconfirma tu cita en el spa,ham
Trabaja desde casa sin experiencia,spam
Tu compra está protegida,ham
Trae este cupón para un obsequio especial,spam
Envíame tus observaciones del reporte,ham
Recibe tus envíos gratis por un año,spam
Tu maleta llegará en el próximo vuelo,ham
Ten energía todo el día con nuestras cápsulas,spam
Gracias por postular te tendremos en cuenta,ham
Obtén Bitcoin gratis con este truco,spam
Hola únete a nuestro dream team,ham
Fracciona tus compras hasta 12 meses,spam
Asiste a la charla motivacional,ham
Resalta tu belleza con nuestro labial,spam
Empeza a disfrutar tu suscripción,ham
Concursa por entradas VIP al estreno,spam
Comprueba que eres mayor de edad,spam
Tus comentarios nos hacen mejores,ham
Baja nuestro recetario gratis,spam
Revisa tus transacciones recientes,ham
Adelgaza comiendo estos snacks,spam
Elige tu método de envío favorito,ham
Cambia una vida apadrinando un niño,ham
Despierta tu niño interior con Lego,spam
Feliz aniversario de bodas,ham
Protege tu auto con nuestro seguro,spam
Hola optimicemos juntos tus finanzas,ham
Gracias por unirte a nuestra comunidad virtual,ham
Visita nuestra nueva colección,spam
Confirmamos el despacho de tu orden,ham
Domina la oratoria con este curso,spam
Tu opinión sincera nos importa,ham
Gana regalos con este código QR,spam
Comunicado: cambio temporal de sede,ham
Acumula millas viajando con nosotros,spam
Hola resolveré todas tus consultas,ham
Invierte en el futuro de tu retiro,spam
Valida tu mail para continuar,ham
Gracias por tu paciencia,ham
Rompe este récord y gana fama,spam
Tu certificado tributario está listo,ham
Dibuja como un experto con estos tips,spam
Verifica tu número de teléfono,ham
Flash sale todo debe irse,spam
Conoce nuestro compromiso con tu privacidad,ham
Felicidades por tu desempeño sobresaliente,ham
Paga a tiempo y mantén tu récord crediticio,ham
Postúlate a este reality show,spam
Reclama aquí tu gift card de cumpleaños,ham
Lee los insights clave de la industria,spam
Disfruta 30 días más de cortesía,ham
Marca tu six-pack con nuestro gel,spam
Revisa los resultados de tus exámenes médicos,ham
Gana probando productos como mystery shopper,spam
Gracias por comprar reclama tu cashback,ham
Canjea aquí tu cupón de descuento,spam
Agrégame tus comentarios en el documento,ham
Recibe tu súper en la puerta de tu casa,spam
Tu vuelo está confirmado,ham
Fortalece tus defensas con este suplemento,spam
Gracias por tu interés te contactaremos pronto,ham
Genera ingreso extra como freelancer,spam
Hola ¿cuándo nos juntamos?,ham
Unifica tus deudas con esta tasa especial,spam
Confirma tu presencia en la capacitación,ham
Destaca tus ojos con nuestro nuevo rímel,spam
Accede con tu nueva clave temporal,ham
Gana una gift card opinando sobre nuestro servicio,spam
Adjunta una copia de tu cédula,spam
Tu feedback nos ayuda a crecer,ham
Baja el instructivo de operación,spam
Tu boleta de pago está disponible,ham
Desintoxica tu cuerpo con estos jugos,spam
Elige el plan que más te convenga,ham
Construyamos un refugio con tu apoyo,ham
Disfruta horas de diversión familiar,spam
Felices Pascuas disfruta en familia,ham
Agenda tu cita online,ham
Monetiza tus conocimientos como instructor,spam
Evita el corte pagando hoy mismo,ham
Atrae la suerte con este amuleto,spam
Gracias por pagar puntualmente,ham
Descubre las claves de un negocio exitoso,spam
Revisa y aprueba el contrato digital,ham
Pide tu muestra médica gratuita,spam
Rastrea tu envío con este código,ham
Sorprende a tu pareja con este perfume,spam
Resolveremos tu caso a la brevedad,ham
Invierte en bienes raíces con expertos,spam
Hola evaluemos tu perfil profesional,ham
Ahorra en grande con nuestra cuenta VIP,spam
